,Time,Date,SourceOfNews,Headlines,News
0,3.00 pm , 16 Jan 2020 ,   Source: Moneycontrol.com,Buy Tata Global Beverages; target of Rs 450: ICICI Direct,"Tata Global Beverages (TGBL) received National Company Law Tribunal (NCLT) approval for merger with Tata Chemicals’ (TCL) consumer business. This business includes sourcing, packaging, marketing, distribution & sales of its Tata Salt, pulses & spices under Sampann brand, snacks business and detergent powder, Tata Dx. TCL’s consumer business has been growing at a strong ~20% growth over the last two years backed by robust growth in volumes across salt, pulses and spices. It has been maintaining its operating margins around 16%, much higher than TGBL’s ~13% (as on H1FY20). Though pulses and spices segments are smaller in size, we believe these underpenetrated and high growth categories would aid TGBL’s growth. We believe investment behind new categories (Tata Dx detergent powder and Tata Nx sugar-free natural sweetener) including other newer segments, would be the key to growth, going ahead.. Outlook. TGBL’s India business revenue contribution has increased from the previous 47% in FY19 to ~52% in H1FY20 with impressive EBITDA margins of 13.5%. The company has been exiting non-core international markets (exit from loss making China, Russia and Czech Republic subsidiaries and stake divested in its Sri Lankan plantations), which has been a drag on sales growth. We have valued TGBL on an SOTP basis, valuing the India domestic business (including TCL’s consumer business) at 5x FY22E sales, international business (US, UK, Canada) at ~1x FY22E sales and Starbucks JV at 2x FY22E sales. We reiterate our BUY rating on the stock with a revised target price of Rs 450 per share.. For all recommendations report, click here. "
1,4.13 pm , 14 Jan 2020 ,   Source: Moneycontrol.com,3-Point Analysis | Should you buy Tata Global Beverages?,"Following the National Company Law Tribunal's (NCLT) approval for the demerger of consumer products business of Tata Chemicals and vesting it with Tata Global Beverages, the company's shares hit a new high of Rs 351.40, up nearly 3 percent intraday on January 13.. Moneycontrol's Sakshi Batra does a 3-Point Analysis of whether it is a good idea to add the company's shares to one's portfolio."
2,5.19 pm , 13 Jan 2020 ,   Source: Moneycontrol.com,"Tata Global Beverages: Premium is on business restructuring, valuation fair","Tata Global Beverages (TGBL) (CMP: Rs 352, market capitalisation: Rs 22,272 crore) has many high points to talk about: It continues to execute restructuring initiatives, along with a commendable operating performance in the recent past. Over the weekend, a couple of news reports underscored that.. Its UK-based subsidiary has sealed an agreement with Dr Muller Pharma s.r.o. for a 100 percent stake sale in its Czech arm - Tata Global Beverages Czech Republic. Additionally, the National Company Law Tribunal (NCLT) has approved the scheme of arrangement between Tata Global Beverages and Tata Chemicals, which paves the way for demerger of the consumer product business from Tata Chemicals and integration of the same with TGBL.. Stake sale in Czech subsidiary. Table: Tata Global Beverages Czech Republic (FY19). . Source: Tata Global Beverages. The stake sale in the Czech subsidiary for Rs 31.7 crore (euro 4 million) includes compensation for trademark rights. At EV (enterprise value)/Sales level, this comes to a mere 0.7x, which is at a discount to TGBL's trading multiple of 3.1x.. However, we don’t see this metric as a right one for comparison as the subsidiary has been reporting loss. In FY19, the bottom line loss for the subsidiary was to the tune Rs 4.7 crore on a sales of Rs 47.9 crore. In fact, EV/Net worth multiple of 3.9 appears to be reasonable compared with some of the notable names in the domestic beverage industry.. Table: EV/Net worth. . Source: Moneycontrol Research. The NCLT green light. With the NCLT nod, we believe that the merger with the consumer-facing business of Tata Chemicals and its positioning in the FMCG space remain key catalyst for the long term.. Addition of newer complementary categories such as macro snacks, beverages such as juices or other staple products cannot be ruled out, where Britannia, Dabur and ITC are major competitors, respectively. However, we see a substantial gestation period before it plays out to have a significant impact on the bottom line.. Outlook. All said, the recent news flow only lends credence to the company’s continuous focus on restructuring and plan to exit un-remunerative businesses. Continuous monitoring of international portfolio makes sense as some of the markets are facing challenges, including category shrinkage due to heightened competition.  And in this context, the stake sale of Czech business is a welcome move.. The recent operational performance stood out, too. Tata Global’s 8 percent volume growth in the India business in Q2 FY20 was commendable, given the prevailing consumption headwinds. The management noted that beverages has done better than other FMCG categories even though it also faced a slowdown in rural areas.. Further, the company has been able to gain market share in the domestic market. The acquisition of Dhunseri Tea bolsters its leading position in the domestic tea market. The JVs, Tata Starbucks and NourishCo, are also progressing well, with the latter achieving break-even at the net profit level.. Tata Global seems well placed to take on competition with increasing investments in brands, advertisement and promotional initiatives. However, this is likely to keep operating margin in check.. Meanwhile, the stock has moved up 95 percent from its lows in February 2019. It is trading at 47x FY21 estimated proforma numbers of the combined entity. This kind of multiple is being currently enjoyed by some of the well-diversified FMCG players.. We think that a large part of the near to medium term positives is already factored in and hence, we remain on the sidelines. Investors who had bought the stock to participate in a turnaround story and benefited from corporate restructuring can consider the recent rally as an opportunity to book profit.. Follow @anubhavsays. For more research articles, visit our Moneycontrol Research page"
3,11.36 am , 13 Jan 2020 ,   Source: Moneycontrol.com,Tata Global Beverage hits record high on NCLT nod for scheme of arrangement with TCL,"The consumer products business will be transferred to Tata Global, which is into marketing, distribution and sales of tea, coffee and water.. The stock has rallied 21 percent in the last three months. It was quoting at Rs 348.45, up Rs 7.15, or 2.09 percent, on the BSE at 1102 hours. Tata Chemicals was trading at Rs 700.75, up Rs 11.10, or 1.61 percent.. Tata Chemicals (demerged company) is one of the key participants in the foods category, selling products under iconic brands such as Tata Salt and Tata Sampann among others.. A big player in the beverages category, Tata Global (resulting company) sells products under well-known names such as Tata Tea and Tetley.. Tata Global said the demerger of consumer products business will enable the company to expand its presence in the fast-moving consumer goods categories in India and abroad.. The demerger would result in revenue and cost synergies, including from supply chain opportunities, operational improvements, logistics alignment leading to economies of scale, creation of efficiencies and optimization of capital and operational expenditure, the company said.. ""The shareholders of the demerged company will continue to participate in the growth of a larger consumer focused company i.e. the resulting company, while continuing to own shares in the demerged company which will remain focused on its basic chemistry and specialty products businesses,"" it added."
4,7.25 pm , 20 Dec 2019 ,   Source: PTI,Tata Global Beverages appoints Sunil D'Souza as MD & CEO,"Besides, Ajit Krishna Kumar has been appointed as the company's Chief Operating Officer.. ""Sunil D'Souza brings strong domain knowledge of consumer products businesses, and a successful track record of leadership. His experience and expertise will be very valuable in shaping and developing TGBL for the future,"" TGBL Chairman N Chandrasekaran said.. D'Souza, who holds a post-graduate diploma in management from the IIM Calcutta, was leading Whirlpool India for last four years.. Prior to this, he had a 15-year stint in Pepsico, where he worked in several leadership roles.. He started his career at Brooke Bond Lipton India in 1993 and has 26 years of experience in the consumer goods industry.. Ajit Krishna Kumar is currently Senior Vice President in the Chairman's office in Tata Sons, where he leads group strategy for consumer businesses."
5,8.37 am , 01 Nov 2019 ,   Source: Moneycontrol.com,Tata Global Beverages Q2: Strong show led by volume growth; Key positives factored in,
6,3.22 pm , 31 Oct 2019 ,   Source: Moneycontrol.com,"Tata Global Bev Consolidated September 2019 Net Sales at Rs 1,834.06 crore, up 4.16% Y-o-Y","Net Sales at Rs 1,834.06 crore in September 2019 up 4.16% from Rs. 1,760.87 crore in September 2018.. Quarterly Net Profit at Rs. 137.74 crore in September 2019 down 18.85% from Rs. 169.73 crore in September 2018.. EBITDA stands at Rs. 259.94 crore in September 2019 up 9.48% from Rs. 237.44 crore in September 2018.. Tata Global Bev EPS has decreased to Rs. 2.18 in September 2019 from Rs. 2.69 in September 2018.. Tata Global Bev shares closed at 291.75 on October 30, 2019 (NSE) and has given 39.46% returns over the last 6 months and 28.35% over the last 12 months."
7,8.08 pm , 30 Oct 2019 ,   Source: PTI,TGBL Q2 net down 17.12% at Rs 152.47 cr,"The consolidated revenue from operations during the quarter under review stood at Rs 1,834.06 crore as against Rs 1,760.87 crore in the year-ago period, a growth of 4.12 per cent, it added.. The company said that during the second quarter, it had a one-time impact of tax rate change on the group consolidated net profit with a charge of Rs 9 crore, arising mainly on account of reversal of opening net deferred tax assets.. Further, the share of profits in associates and JV's for the current quarter included a charge of Rs 14 crore due to reversal of opening deferred tax assets as a result of reduced tax rate, it added. In the quarter ended September 30, there was a credit of Rs 37 crore on recognition of deferred tax assets in a joint venture.. Commenting on the performance, TGBL Managing Director and CEO Ajoy Misra said the company reported steady revenue growth in the last quarter and the India business recorded continued value and volume growth.. ""Our flagship brands in India recorded good growth and we will continue to focus on white space opportunities in the Indian market. Our international markets reflected volume growth in both tea and coffee,"" he added.. During the quarter, India tea business clocked a growth of 8 per cent both in volume and value terms and the company consummated acquisition of the branded business of Dhunseri Tea and Industries Ltd that includes the 'Lal Ghoda' and 'Kala Ghoda' brands, TGBL said.. In the international business, the company said there was a volume growth both in branded tea and coffee in key markets of the UK, the US and Canada in the second quarter."
8,12.41 pm , 11 Oct 2019 ,   Source: Moneycontrol.com,Tata Global Beverages Q2 PAT may dip 3.4% YoY to Rs. 170.4 cr: Kotak,"Net Sales are expected to increase by 6 percent Y-o-Y (down 1.6 percent Q-o-Q) to Rs. 1,866.5 crore, according to Kotak.. Earnings before interest, tax, depreciation and amortisation (EBITDA) are likely to rise by 24.8 percent Y-o-Y (down 21.5 percent Q-o-Q) to Rs. 208 crore.. Disclaimer: The views and investment tips expressed by investment experts on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.. "
9,11.01 am , 02 Aug 2019 ,   Source: Moneycontrol.com,Buy Tata Global Beverages; target of Rs 300: ICICI Direct,"Consolidated sales increased 5.2% YoY to Rs 1,897.1 crore, mainly driven by 26% growth in the non-branded business. The tea business reported moderate growth of 4% whereas the coffee business declined 3%. On the volume front, India tea business reported healthy growth of 8%. Operating margins witnessed a slight improvement of 16 bps to 14%. Gross margins declined 134 bps due to high commodity costs as the company procured additional inventory prior to halt in auction between January-March 2019. Moreover, the company witnessed down-trading during the quarter with higher volumes from mass category brands.. Outlook. Hence, we value TGBL on an SOTP basis, valuing India domestic business at 4x FY21E sales, international business (US, UK, Canada) at 0.5x FY21E sales and Starbucks JV at 2x FY21E sales We reiterate our BUY rating on the stock with a revised target price of Rs 300 per share.. For all recommendations report, click here. Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.. "
